      Skeleton      	num_frames	Actor1	Actor2	Start	End
S030C003P088R002A116	    91    	  10  	  0   	  0  	 1 
S030C003P091R002A114	    86    	  46  	  0   	  0  	 1 
S030C003P091R002A116	   103    	  10  	  0   	  0  	 1 
S030C003P092R001A119	    67    	  20  	  0   	  0  	 1 
S030C003P092R002A116	   101    	  5   	  0   	  0  	 1 
S030C003P096R002A116	   147    	  20  	  0   	  0  	 1 
S031C001P006R001A116	    51    	  1   	  0   	  0  	 1 
S031C001P041R001A116	    76    	  1   	  0   	  0  	 1 
S031C001P042R002A119	    52    	  2   	  0   	  1  	 0 
S031C001P043R001A115	    29    	  7   	  0   	  1  	 0 
S031C001P051R001A116	    53    	  1   	  0   	  0  	 1 
S031C001P051R002A117	    40    	  19  	  0   	  1  	 0 
S031C001P096R001A116	    64    	  10  	  0   	  0  	 1 
S031C002P008R002A116	    49    	  10  	  0   	  0  	 1 
S031C002P041R002A116	    64    	  22  	  0   	  0  	 1 
S031C002P043R001A111	    27    	  3   	  0   	  1  	 0 
S031C002P043R001A114	    86    	  27  	  0   	  0  	 1 
S031C002P082R001A119	    63    	  2   	  0   	  0  	 1 
S031C002P085R002A114	    69    	  38  	  0   	  0  	 1 
S031C002P085R002A119	    63    	  6   	  0   	  0  	 1 
S031C002P096R001A117	    49    	  13  	  0   	  0  	 1 
S031C002P097R001A119	    66    	  18  	  0   	  0  	 1 
S031C002P097R002A116	    64    	  8   	  0   	  0  	 1 
S031C002P097R002A117	    39    	  2   	  0   	  1  	 0 
S031C002P098R001A119	    80    	  24  	  0   	  0  	 1 
S031C002P100R002A119	    86    	  15  	  0   	  0  	 1 
S031C002P101R001A114	    65    	  4   	  0   	  0  	 1 
S031C003P008R002A108	    55    	  30  	  0   	  1  	 0 
S031C003P008R002A111	    33    	  6   	  0   	  1  	 0 
S031C003P042R002A116	    80    	  7   	  0   	  0  	 1 
S031C003P044R001A108	    41    	  1   	  0   	  1  	 0 
S031C003P082R002A116	    88    	  20  	  0   	  0  	 1 
S031C003P099R002A116	    84    	  2   	  0   	  0  	 1 
S031C003P100R002A116	    85    	  5   	  0   	  0  	 1 
S032C003P044R002A116	    87    	  10  	  0   	  0  	 1 
S032C003P104R001A116	    89    	  29  	  0   	  0  	 1 
